Variable,Coefficient,Std_Error,z_stat,p_value
const,2.908,0.0639,45.485,0.0
Q2,-0.0413,0.0188,-2.197,0.028
Q3,-0.0501,0.0279,-1.797,0.0723
Q4,-0.0218,0.0202,-1.08,0.2802
HH_Size_2,-0.006,0.0455,-0.132,0.895
HH_Size_3,-0.0157,0.0486,-0.323,0.7469
HH_Size_4,-0.0256,0.0536,-0.479,0.6322
HH_Size_5,0.0045,0.0525,0.085,0.9323
HH_Size_6plus,-0.6849,0.1326,-5.167,0.0
Income_25_39k,-0.0033,0.0301,-0.11,0.9123
Income_40_59k,0.0181,0.0341,0.531,0.5951
Income_60_74k,0.0853,0.0411,2.077,0.0378
Income_75_99k,0.0124,0.0351,0.354,0.7232
Income_100_149k,-0.0056,0.0676,-0.083,0.9341
Income_150_199k,0.0195,0.0545,0.357,0.7209
Income_200k_plus,0.1272,0.0599,2.124,0.0337
Edu_Some_College,0.145,0.0725,2.002,0.0453
Edu_Associate,0.0572,0.0593,0.965,0.3348
Edu_Bachelors,0.2128,0.078,2.728,0.0064
Edu_Graduate,0.2924,0.118,2.478,0.0132
Edu_Missing,0.0813,0.0609,1.336,0.1814
Children,-0.0227,0.0293,-0.774,0.4391
Edu_Some_College_x_Income_60_74k,-0.095,0.0764,-1.244,0.2135
Edu_Some_College_x_Income_100_149k,0.0418,0.0838,0.499,0.618
Edu_Some_College_x_Income_200k_plus,-0.0161,0.1133,-0.142,0.8869
Edu_Bachelors_x_Income_60_74k,-0.0514,0.0662,-0.776,0.4376
Edu_Bachelors_x_Income_100_149k,0.026,0.0839,0.31,0.7567
Edu_Bachelors_x_Income_200k_plus,0.0063,0.0779,0.08,0.9359
Edu_Graduate_x_Income_60_74k,-0.2474,0.1112,-2.224,0.0262
Edu_Graduate_x_Income_100_149k,0.0551,0.0954,0.577,0.5637
Edu_Graduate_x_Income_200k_plus,-0.0739,0.1347,-0.549,0.5833
HH_Size_2_x_Edu_Some_College,-0.0062,0.0712,-0.087,0.9311
HH_Size_2_x_Edu_Bachelors,-0.0503,0.0725,-0.694,0.4879
HH_Size_2_x_Edu_Graduate,-0.1215,0.119,-1.021,0.3074
HH_Size_3_x_Edu_Some_College,-0.1053,0.0774,-1.36,0.1738
HH_Size_3_x_Edu_Bachelors,-0.0817,0.0715,-1.143,0.2531
HH_Size_3_x_Edu_Graduate,0.0517,0.1235,0.418,0.6756
HH_Size_4_x_Edu_Some_College,0.0366,0.0762,0.481,0.6307
HH_Size_4_x_Edu_Bachelors,-0.0352,0.0797,-0.442,0.6583
HH_Size_4_x_Edu_Graduate,-0.1238,0.13,-0.952,0.341
HH_Size_5_x_Edu_Some_College,-0.0042,0.0794,-0.053,0.9581
HH_Size_5_x_Edu_Bachelors,0.0017,0.0775,0.022,0.9827
HH_Size_5_x_Edu_Graduate,-0.0774,0.1205,-0.642,0.5206
